schema,role,commit,strategy,strategy_sha256,opponent_family,seed_set,seed,scenario_id,police_start,thief_start,config,grid,quota,horizon,outcome,captured,steps,barriers_placed,own_score,opponent_score
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,17531790898607809917,3e7bf3225aeec6c41a7049bec80693d09d3edb3629198c4dee17be8019329864,"0,6","1,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,7250576846830131612,eb147f81d12085347c35b8df50103b33c27edf029b440f99e7967f5250339f00,"2,2","6,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,2436346155132372862,2a1e8c64bd754a33ef27e1810cfbaff0795cdebea30aac7c0420232145e4ada0,"4,1","6,6",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,9792665746289289446,8748499c16917094fcaedb47e0d010bd92be4b1eb5a85b30052ed7c46d0cb2bc,"0,0","2,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,18233810521156587314,0acf776d5437d7103bcbaac42d4e2182a473de95120bf0082e8146ab60f6fa16,"0,4","1,4",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,6507253891929652097,960d0090843cee743c749902d8816cad2486f1304ce6fe4041e2920149a495fc,"1,6","2,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,15670968856161505515,dc3c32cd578b7d2fa7242b7bbd5a5f8b7ac3a5f0a724c12bb5c2bfdc32495dfe,"6,0","4,4",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,14342069096841001370,9d48c79f469f2b51bc577eba346a2eabd6e9f0728f79ea2fae25c19223d905c6,"5,4","6,2",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,3791844465452363303,a8fa802da327ec763b92f9308dc735ef89101072b43e77006b2a183f40dac1dd,"2,2","3,5",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,18079720189654477655,6d2042c28220764f7725ddaca0c8c41c60b7e17c00c13089c1976e434e4af2a1,"5,2","5,3",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,15683304635096165462,fda8c73c826ac81f47140a7ba22a640e86f2b6c30fdcebdfe8f0e3e856a98344,"5,4","0,3",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,2237896390146543214,06491a4ad89fb217c1b15da56a62a4d69c6359e7f7c012a6ea22998f6a7962b9,"1,3","0,6",grid7,7,14,35,SURVIVAL,0,35,0,10,5
