schema,role,commit,strategy,strategy_sha256,opponent_family,seed_set,seed,scenario_id,police_start,thief_start,config,grid,quota,horizon,outcome,captured,steps,barriers_placed,own_score,opponent_score
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,56532932017376022,17288c4015583a1fbaea1adcc5f8a3c7824acf1536a31a1dfaebe53b2f1ceb66,"1,4","5,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,16978793991481814947,cf2215b07974572fa92c166d398d5cfaac30bb6ee0f5e548b606f66988223d5e,"1,5","2,2",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,4902912703780515698,ebf5b736938d3062571bb6ffafd879964272a3588e341601badb04a8e212ba8c,"6,0","1,6",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,2641924777248849796,50e52bf18d6ffb8221616eb35b9b758552b2c6cced208725c9047e8b893b03ae,"6,0","6,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,14617239932871170910,0b76feda89d7110266aa49b890ce0e51842b0eb624af9e3b66b05fd74c04ab0d,"1,6","1,3",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,16627751628749857540,02f2fbbd7c38152fd3a63cc2f29d5a96a9fe93de8c797cd8ae0dd0cfb72c1810,"5,3","4,5",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,16392670541353157348,fa033c91b20156d36a374d27b91a51f96757bb55b0169cd563162737d60d3fdb,"1,0","5,2",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,17100173884268704506,51d501b502fcd9f28c85a7d1f83ac2f4ec6dba83d861494db8a93b01c5f6b3d7,"6,1","4,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,17081151888433354409,aeee77f35247f792bc3f3f348a615f31f39a95f3d77b6abfb4b070b92437c4c8,"5,1","3,3",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,stress,9124484903177292308,5f7d651b6e9f9369075284634d74088c3d6786e59b60977a970438157f5f9a5e,"2,0","5,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
